"","ATE","ATE_est","variance","coverage","bias_se","cov_se","size","parametric","ICC","independent"
"1",0.175884198927285,0.115039944362896,0.00396928096185951,0.798,0.00281754537207815,0.0179552777756291,"small",FALSE,0.01,FALSE
"2",0.176107193489719,0.12024221962305,0.001081765654095,0.526,0.00147089473049229,0.022330427671677,"large",FALSE,0.01,FALSE
"3",0.176181060910692,0.16856633847991,0.00565121134746592,0.916,0.00336190759761952,0.0124051602166195,"small",TRUE,0.01,FALSE
"4",0.176386024207062,0.17402549025242,0.00129237378735881,0.926,0.00160771501663622,0.0117067501895274,"large",TRUE,0.01,FALSE
"5",0.165048289791367,0.109917088165948,0.00413310599517567,0.804,0.00287510208346614,0.017752971582245,"small",FALSE,0.1,FALSE
"6",0.164762621621174,0.111829853667679,0.000935414018197803,0.544,0.00136778215970073,0.0222739309507774,"large",FALSE,0.1,FALSE
"7",0.164541114880415,0.157322728379983,0.00502381512258809,0.932,0.00316979971688688,0.0112584190719657,"small",TRUE,0.1,FALSE
"8",0.164932642821386,0.164389260858387,0.00111883572780103,0.94,0.00149588484035438,0.0106207344378814,"large",TRUE,0.1,FALSE
"9",0.176296865372404,0.174774110676096,0.00291557942564949,0.94,0.00241477925519062,0.0106207344378814,"small",FALSE,0.01,TRUE
"10",0.176056474040693,0.177591386566569,0.000773522267014683,0.946,0.00124380244976016,0.0101078187557949,"large",FALSE,0.01,TRUE
"11",0.176098989604869,0.170904337604245,0.00430528559493886,0.928,0.00293437747910485,0.0115599307956406,"small",TRUE,0.01,TRUE
"12",0.176124497955703,0.176543230702171,0.000969807247488839,0.944,0.00139270043260483,0.0102824121683582,"large",TRUE,0.01,TRUE
"13",0.164866449811409,0.163772175949335,0.0030801513287729,0.944,0.00248199570054942,0.0102824121683582,"small",FALSE,0.1,TRUE
"14",0.16494283272494,0.164256001011832,0.000792671984949185,0.928,0.0012591044316888,0.0115599307956406,"large",FALSE,0.1,TRUE
"15",0.165316076560528,0.164126252373584,0.00381274196034442,0.936,0.00276142787714777,0.0109456840809517,"small",TRUE,0.1,TRUE
"16",0.164969812496916,0.161676214667155,0.001014260256324,0.918,0.00142426139196708,0.0122699633251286,"large",TRUE,0.1,TRUE
