"","ATE","ATE_est","variance","coverage","bias_se","cov_se","size","parametric","ICC","independent"
"1",0.176135519623601,0.116360372906877,0.00327389398607243,0.773333333333333,0.00208930418595041,0.0152878552622177,"small",FALSE,0.01,FALSE
"2",0.176217124798985,0.115236889074603,0.00113998020193142,0.492,0.00123287209497791,0.0182550814843429,"large",FALSE,0.01,FALSE
"3",0.17626263877559,0.171983738309829,0.00390557106800485,0.930666666666667,0.00228197898558973,0.00927550338056986,"small",TRUE,0.01,FALSE
"4",0.176242051694021,0.175207653019619,0.00118292704180015,0.94,0.00125588058975905,0.00867179335547152,"large",TRUE,0.01,FALSE
"5",0.165750999704338,0.112642889589228,0.00534358898713104,0.845333333333333,0.00266922934873995,0.0132032768098877,"small",FALSE,0.1,FALSE
"6",0.165263385591528,0.110646649252259,0.00304248458301001,0.808,0.00201411174235195,0.0143822112347163,"large",FALSE,0.1,FALSE
"7",0.165813108160162,0.161780233674073,0.00657163186183923,0.925333333333333,0.00296009726458197,0.00959802448809514,"small",TRUE,0.1,FALSE
"8",0.164996401299698,0.163942090129139,0.0032638048891427,0.933333333333333,0.00208608241740116,0.00910840068085298,"large",TRUE,0.1,FALSE
"9",0.175671351090752,0.173744296844131,0.00258036682829502,0.924,0.00185485554812049,0.00967636295309348,"small",FALSE,0.01,TRUE
"10",0.176087521262579,0.174483845118491,0.000960974478872174,0.928,0.00113194492143518,0.00943864397040168,"large",FALSE,0.01,TRUE
"11",0.176598559677101,0.172468133557444,0.00378035248262101,0.917333333333333,0.00224509910178326,0.010055372619576,"small",TRUE,0.01,TRUE
"12",0.176096621591333,0.176777823679323,0.000994458845096078,0.945333333333333,0.00115149690698446,0.00830086117799209,"large",TRUE,0.01,TRUE
"13",0.16504315100686,0.162614717248273,0.0050260553007018,0.926666666666667,0.00258870760566009,0.00951879232925099,"small",FALSE,0.1,TRUE
"14",0.165348414143153,0.165372828675033,0.00286633882425165,0.941333333333333,0.00195493864328326,0.00858097810189405,"large",FALSE,0.1,TRUE
"15",0.165061829588305,0.157650067152034,0.00555632618060813,0.936,0.00272184402702975,0.00893711362801212,"small",TRUE,0.1,TRUE
"16",0.164845511849434,0.165500012006391,0.00307995100165779,0.938666666666667,0.00202647510114082,0.00876139681067318,"large",TRUE,0.1,TRUE
