"","ATE","ATE_est","variance","coverage","bias_se","cov_se","parametric","ICC","independent"
"1",0.17396504,0.114018193866184,0.000573518477946928,0.69,0.0010709981119936,0.0206833266183175,FALSE,0.01,FALSE
"2",0.17398956,0.175653960826559,0.000514067274417586,1,0.00101396969818391,0,TRUE,0.01,FALSE
"3",0.16378032,0.106617539351308,0.00119131885755092,0.83,0.00154357951369596,0.016798809481627,FALSE,0.1,FALSE
"4",0.16368386,0.167285920940331,0.00117183128900862,0.998,0.00153090253707322,0.00199799899899875,TRUE,0.1,FALSE
"5",0.17385916,0.175140830359069,0.00053030471824333,1,0.00102985894009163,0,FALSE,0.01,TRUE
"6",0.17394732,0.177075202236144,0.000556335865292959,1,0.0010548325604502,0,TRUE,0.01,TRUE
"7",0.16360882,0.164164099697778,0.00141842512465083,0.988,0.0016842951787919,0.00486949689393063,FALSE,0.1,TRUE
"8",0.16347134,0.165930013549162,0.00128201020555194,0.998,0.00160125588557978,0.00199799899899875,TRUE,0.1,TRUE
